項番,旧項番,種別,単位,グループ,サブグループ,タスク,方法,抽出,対象（ソースコード、AST）,単位,備考,比較対象,表示形式
338,4.1.3,ドキュメント,複数,セキュリティ・脆弱性関連,,ハードコード認証情報検出,パスワードや秘密鍵などがソースコード内にハードコードされていないか検出する。正規表現や機械学習でパターンに一致する情報を抽出する。コメントやデバッグコード内の機密情報も確認する。全体的なセキュリティリスクを評価する,認証情報数・該当行番号・プログラム名・検出情報種類・リスク評価・推奨対策,対象ソース解析結果・対象ソースコード,件数・行番号・文字列・評価結果,プログラム間の機密情報管理状況を比較する,セキュリティポリシー,表形式（検出結果一覧）・即時修正箇所強調・比較グラフ
339,4.1.4,ドキュメント,複数,セキュリティ・脆弱性関連,,安全でないファイル操作検出,ファイル操作時の適切なエラーチェックやアクセス制御を確認する。ファイルパスのバリデーションやサニタイズが適切か解析する。ファイルの権限設定や暗号化の有無をチェックする。全体的なファイル操作の安全性を評価する,リスク箇所数・該当行番号・プログラム名・問題コードスニペット・脆弱性詳細・影響範囲,対象ソース解析結果・対象AST,件数・行番号・文字列,プログラム間のファイル操作の安全性を比較する,セキュリティガイドライン,表形式（脆弱性一覧）・リスクレベル別分類・問題箇所表示・比較グラフ
340,4.1.5,ドキュメント,複数,セキュリティ・脆弱性関連,,コマンドインジェクション検出,外部コマンド呼び出しにユーザー入力が含まれていないかをチェックする。シェルメタ文字の適切なエスケープ処理を解析する。安全なコマンド実行方法を検証する。プログラム全体のコマンド実行の安全性を評価する,脆弱箇所数・該当行番号・プログラム名・問題コードスニペット・脆弱性詳細・攻撃シナリオ,対象ソース解析結果・対象AST,件数・行番号・文字列,プログラム間のコマンド実行の安全性を比較する,セキュリティガイドライン,表形式（脆弱性一覧）・深刻度別対応期限・比較グラフ
341,4.2.1,ドキュメント,複数,セキュリティ・脆弱性関連,,CVEデータベース連携分析,使用ライブラリやモジュールのCVE該当性を確認する。ライブラリのバージョン情報を取得しCVEデータベースと照合する。プラットフォーム固有の脆弱性も含めて解析する。プログラム全体の依存関係を解析し影響範囲を評価する,CVE番号・該当箇所・脆弱性概要・影響度・推奨対応策・プログラム別該当件数,対象ソース解析結果・CVEデータベース,文字列・件数・評価結果,プログラム間の脆弱性状況を比較する,最新CVEデータベース,表形式（CVE一覧）・詳細リンク・優先度ソート・比較グラフ
342,4.2.2,ドキュメント,複数,セキュリティ・脆弱性関連,,脆弱性スコアリング,検出された脆弱性のCVSSスコアを計算する。CVSS v3.1のベース・時間的・環境スコアを算出する。組織の環境要因や資産価値を考慮したスコアリングを実施する。プログラム間のリスクレベルを比較し優先対処脆弱性を特定する,CVSSスコア・深刻度・脆弱性詳細評価・総合リスク評価・プログラム別平均CVSSスコア,対象ソース解析結果・CVSSデータ,数値・評価結果・統計値,プログラム間の脆弱性リスクを比較する,CVSS評価基準,グラフ（分布図）・円グラフ・一覧表・比較グラフ
343,4.2.3,ドキュメント,複数,セキュリティ・脆弱性関連,,推奨対策提示,脆弱性への具体的な対策や修正案を提示する。セキュリティアドバイザリやベンダー情報を参照する。修正の優先度や影響範囲を考慮し対応計画を策定する。プログラム全体のセキュリティ改善計画を提案する,推奨対策内容・実施手順・注意点・必要リソース工数・プログラム別優先度,対象ソース解析結果・セキュリティ情報,文字列・工数・優先度,プログラム間の対策状況を比較する,セキュリティガイドライン,テキスト記述・表形式（対策一覧）・ガントチャート・対策計画表
344,5.1.1,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,DB操作は品質関連領域,SQL文種類頻度分析,埋め込みSQL文を解析しSELECT/INSERT/UPDATE/DELETEなどの種類と頻度を集計する。SQL文の複雑さを解析する。ASTでSQL文の構造を詳細に解析しパフォーマンスへの影響を評価する。各プログラムのSQL使用傾向を分析する,SQL文種類・使用回数・各SQL平均最大行数・複雑SQL数・プログラム別使用頻度・全体割合,対象ソース解析結果・対象AST,文字列・回数・行数・件数,プログラム間のSQL利用状況を比較する,データベースアクセスガイドライン,表形式（SQL種類別集計）・グラフ（割合）・ヒートマップ・比較グラフ
345,5.1.2,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,DB関連の品質分析,カーソル宣言分析,カーソルの宣言と使用箇所を解析する。カーソルのタイプや属性を特定する。カーソルのオープン・フェッチ・クローズ処理の適切性を検証する。プログラム間のカーソル使用パターンを比較する,カーソル名・使用箇所・タイプと属性・カーソル処理の有無・プログラム別使用件数,対象ソース解析結果・対象AST,文字列・行番号・件数,プログラム間のカーソル利用状況を比較する,カーソル使用基準,表形式（カーソル一覧）・フローチャート・比較グラフ
346,5.1.3,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,DB関連品質評価,テーブル参照環境分析,参照データベースやテーブルの一覧を取得する。各テーブルへの操作種類と頻度を解析する。テーブル間の関係性も考慮する。プログラム間の共通参照テーブルを特定し依存関係を分析する,データベース名・テーブル名・アクセス種別・操作頻度・テーブル別アクセス割合・プログラム別アクセス状況,対象ソース解析結果・対象AST,文字列・回数・パーセント,プログラム間のテーブル参照状況を比較する,データベースアクセスガイドライン,表形式（テーブル一覧）・グラフ（頻度）・関係図・比較グラフ
347,5.1.4,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,SQL複雑度は品質関連,結合複雑度分析,SQL文のテーブル結合数や種類を解析する。結合条件の適切性を検証する。ネストされた結合やサブクエリの使用状況を解析する。プログラム全体の結合パターンを分析しパフォーマンス改善を提案する,結合数・結合種類・結合対象テーブル・複雑結合数・プログラム別結合複雑度,対象ソース解析結果・対象AST,件数・文字列・評価結果,プログラム間の結合複雑度を比較する,結合複雑度パフォーマンス基準,グラフ（分布図）・構造図・比較グラフ
348,5.2.1.1,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,DB特性評価は品質関連,DB2検出分析,DB2関連のSQL文やAPIの使用を検出する。特定のDB2拡張機能の使用状況も解析する。DB2の使用がプログラム間で一貫しているか確認し標準化を検討する,DB2使用有無・使用箇所・DB2固有機能一覧・バージョン依存機能・プログラム別使用状況,対象ソース解析結果・対象AST,有無・行番号・文字列,プログラム間のDB2利用状況を比較する,データベース統一方針,テキスト記述・表形式（機能一覧）・比較グラフ
349,5.2.1.2,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,ファイル/DB関連は品質関連,VSAM検出分析,VSAMファイルのアクセス命令を検出する。ファイル組織とアクセスモードを解析する。プログラム間のVSAM使用パターンを比較し効率的なストレージ利用を検討する,VSAM使用有無・使用箇所・ファイル名・処理状況・プログラム別使用状況,対象ソース解析結果・対象AST,有無・行番号・文字列,プログラム間のVSAM利用状況を比較する,ストレージ標準化方針,テキスト記述・表形式（アクセス一覧）・比較グラフ
350,5.2.1.3,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,DB特化解析は品質関連,IMS DB検出分析,IMS DB関連のコマンド使用を検出する。データベース階層構造のアクセスパターンを解析する。DL/I呼び出しの使用状況を詳細に解析する。プログラム間のIMS DB使用状況を比較する,IMS DB使用有無・使用箇所・セグメント名・固有機能状況・プログラム別使用状況,対象ソース解析結果・対象AST,有無・行番号・文字列,プログラム間のIMS DB利用状況を比較する,データベース統一方針,テキスト記述・表形式（アクセス一覧）・比較グラフ
351,5.2.1.4,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,DB特化解析は品質関連,Oracle検出分析,Oracle固有のSQL構文や機能の使用を検出する。PL/SQLブロックの有無やOracle特有のデータ型・関数の使用状況を解析する。プログラム間のOracle使用状況を比較する,Oracle使用有無・使用箇所・固有機能一覧・バージョン依存機能・プログラム別使用状況,対象ソース解析結果・対象AST,有無・行番号・文字列,プログラム間のOracle利用状況を比較する,データベース統一方針,テキスト記述・表形式（機能一覧）・比較グラフ
352,5.2.2,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,DBアクセスパターンは品質・性能関連,アクセスパターン分析,データベースへのアクセス方法や頻度を解析する。アクセス頻度の高いテーブルやレコードを特定する。トランザクションごとのアクセスパターンも解析する。プログラム間のアクセスパターンを比較する,アクセスパターン・アクセス回数・高頻度テーブル一覧・パターン別割合・プログラム別比較,対象ソース解析結果・対象AST,文字列・回数・パーセント,プログラム間のアクセス傾向を比較する,パフォーマンス基準,グラフ（分布図）・一覧表・比較グラフ
353,5.2.3,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,DB取引制御は品質関連,トランザクション境界分析,トランザクションの開始・終了箇所を検出する。コミット・ロールバックのタイミングを解析しトランザクション粒度を評価する。エラーハンドリングや再試行処理を確認する。プログラム間の一貫性を評価する,トランザクション数・範囲・平均処理時間・操作種類回数・プログラム別数と粒度,対象ソース解析結果・対象AST,件数・行番号・時間・回数,プログラム間のトランザクション管理を比較する,トランザクション管理ガイドライン,テキスト記述・表形式（一覧）・フロー図・比較グラフ
354,5.2.4,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,DB接続管理は品質関連,コネクション管理分析,データベース接続の確立・切断方法とその適切性を解析する。コネクションプーリングの有無や再利用状況を確認する。接続エラー処理やタイムアウト設定を解析する。プログラム間の管理手法を比較する,コネクション数・管理方法・平均生存時間・エラー処理有無・プログラム別管理状況,対象ソース解析結果・対象AST,件数・文字列・時間・有無,プログラム間のコネクション管理を比較する,コネクション管理ベストプラクティス,テキスト記述・表形式（一覧）・フロー図・比較グラフ
355,5.3.1,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,外部連携・プラットフォーム依存は品質関連,プロトコル検出分析,使用している通信プロトコルを検出する。TCP/IP・HTTP・MQ・FTPなどのプロトコル使用状況を解析する。同期・非同期通信の区別やセキュリティプロトコルの使用有無を確認する。プログラム間のプロトコル使用の一貫性を評価する,プロトコル名・使用箇所・プロトコルバージョン・通信方向性・プログラム別使用状況,対象ソース解析結果・対象AST,文字列・行番号・方向性,プログラム間のプロトコル利用状況を比較する,通信プロトコル標準,表形式（プロトコル一覧）・通信フロー図・比較グラフ
356,5.3.2,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,データ交換フォーマット分析は品質・標準化関連,データフォーマット分析,データ交換時のフォーマットを解析する。データスキーマやメッセージ構造の詳細を解析する。エンコーディング方式も確認する。プログラム間のデータフォーマット使用の一貫性を評価する,フォーマット種類・使用箇所・バージョン仕様・データサイズ転送頻度・プログラム別使用状況,対象ソース解析結果・対象AST,文字列・行番号・サイズ・頻度,プログラム間のフォーマット利用状況を比較する,データフォーマット標準,表形式（フォーマット一覧）・互換性マトリクス・比較グラフ
357,5.3.3,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,外部システム連携は品質関連,システム依存関係分析,外部システムやサービスとの依存関係を特定する。依存システムのバージョンやインターフェース仕様を解析する。依存関係の強さや代替手段の有無を評価する。共通の依存関係を整理しシステム全体への影響を評価する,外部システム名・依存関係内容・依存方向性・依存度評価・プログラム別依存関係一覧,対象ソース解析結果・対象AST,文字列・方向性・評価結果,プログラム間のシステム依存状況を比較する,システム間連携ガイドライン,グラフ（依存関係図）・表形式（一覧）・比較グラフ
358,5.4.1,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,JCLは外部連携、運用品質関連,JCL参照解析,使用しているJCLを解析しジョブの設定やパラメータを特定する。JCL内のステップやユーティリティの使用状況を解析する。環境変数やパラメータカードの使用を確認する。プログラム間のJCL使用の一貫性と共通化可能性を検討する,JCL名・使用パラメータ・実行条件・リソース割当・プログラム別使用状況,対象ソース解析結果・JCLソース,文字列・パラメータ・条件,プログラム間のJCL利用状況を比較する,JCL標準,表形式（JCL一覧）・ジョブフロー図・比較グラフ
359,5.4.2,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,バッチ運用管理は品質関連,ジョブ依存関係分析,ジョブの実行順序や依存関係を解析する。ジョブネットワークを構築し並列実行や待ち合わせ条件を解析する。エラー時のリカバリ手順や再実行条件を確認する。全体的なジョブの依存関係を可視化する,ジョブ名・依存関係・実行時間・クリティカルパス・依存関係マトリクス,対象ソース解析結果・JCLソース,文字列・時間・パス,プログラム間のジョブ依存状況を比較する,ジョブ管理ガイドライン,グラフ（フローチャート）・ガントチャート・ヒートマップ
360,5.4.3,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,ファイル/DB品質関連,データセット使用状況分析,使用データセットを解析する。データセットの属性を特定する。データセットのライフサイクルを解析する。データセットの共有状況やアクセス競合リスクを評価する,データセット名・アクセスモード・属性詳細・共有状況・プログラム別使用状況,対象ソース解析結果・JCLソース,文字列・モード・属性,プログラム間のデータセット利用状況を比較する,データセット命名規則・アクセス制御ガイドライン,表形式（使用一覧）・データフロー図・比較グラフ
361,5.4.4,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,ジョブ運用・品質関連,条件コード分析,条件コードの設定やチェック箇所を解析する。条件コードによる分岐や再実行ロジックを解析する。エラーコードの体系や統一性を評価する。プログラム間での条件コード使用の一貫性を確認する,条件コード値・使用箇所・エラーメッセージ・設定基準・プログラム別使用状況,対象ソース解析結果・対象AST,数値・行番号・文字列,プログラム間の条件コード使用状況を比較する,エラーハンドリングガイドライン,表形式（使用一覧）・フロー図・比較グラフ
362,6.1.1,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,UI・可視化関連は品質側,画面制御方式分析,画面制御の方式を特定する。画面制御関連の命令やAPIを解析し具体的な制御方式を判別する。各画面制御方式の特性や制約を評価する。プログラム間での画面制御方式の一貫性を評価する,画面制御方式・使用箇所・使用頻度割合・複数方式内訳・プログラム別使用状況,対象ソース解析結果・対象AST,文字列・行番号・パーセント,プログラム間の画面制御方式を比較する,画面制御標準,テキスト記述・表形式（一覧）・グラフ（割合）・比較グラフ
363,6.1.2,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,UI関連品質評価,画面セクション構造分析,SCREEN SECTIONを解析し画面項目やレイアウトを特定する。画面項目の属性を抽出する。画面間の遷移や関連性を解析する。プログラム間での画面設計の一貫性を評価する,画面項目名・レイアウト情報・データ型制限値・画面遷移図・プログラム別画面構造,対象ソース解析結果・対象AST,文字列・属性・フロー,プログラム間の画面構造を比較する,画面設計ガイドライン,表形式（項目一覧）・グラフ（レイアウト図）・遷移図・比較図
364,6.1.3,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,UI・I/O品質分析,端末I/O分析,ACCEPT/DISPLAY等の端末入出力命令の使用状況を解析する。入出力データの内容やフォーマットを特定する。エラーメッセージ表示方法を確認する。プログラム間での端末I/O使用パターンを比較する,入出力命令使用箇所・使用回数・データ項目内容・エラー処理内容・プログラム別使用状況,対象ソース解析結果・対象AST,行番号・回数・文字列,プログラム間の端末I/O利用状況を比較する,端末I/O使用基準,表形式（命令一覧）・フローチャート・比較グラフ
365,6.1.4,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,UIデザイン統一性は品質関連,画面マップ分析,画面項目と配置を解析し画面マップを生成する。位置情報や属性でレイアウトを構築する。ユーザー操作シーケンスを解析する。プログラム間での画面デザインの統一性を評価する,画面マップ・画面項目詳細情報・画面遷移フロー・プログラム別画面マップ,対象ソース解析結果・対象AST,図・属性・フロー,プログラム間の画面デザインを比較する,画面デザイン標準,グラフ（マップ図）・プロトタイプ・比較図
366,6.1.5,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,UI・インタラクション品質,対話パターン分析,ユーザーとの対話パターンを解析する。イベントハンドリングやフィードバック機構を特定する。入力データの検証や制約条件を解析する。プログラム間での対話パターンを比較する,対話パターン種類・使用箇所・詳細フロー・操作シーケンス・プログラム別比較,対象ソース解析結果・対象AST,文字列・行番号・フロー,プログラム間の対話パターンを比較する,UI/UXガイドライン,グラフ（フローチャート）・ストーリーマップ・比較図
367,6.2.1,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,バッチ処理品質・運用関連,バッチ構造分析,バッチ処理の全体的な流れと構成を解析する。ジョブのステップ構成や依存関係を解析する。スケジューリング情報や実行頻度を考慮する。バッチ処理間の共通点や相違点を特定する,処理ステップ・実行順序・入出力データ・処理時間・依存関係マトリクス,対象ソース解析結果・対象AST,文字列・順序・時間・マトリクス,プログラム間のバッチ構造を比較する,バッチ処理標準,グラフ（フローチャート）・ガントチャート・統合フロー図
368,6.2.2,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,ファイル操作品質,ファイル処理分析,ファイルの読み書き操作やアクセスモードを解析する。ファイルの組織形態やレコード長を特定する。エラーハンドリングやロック制御を確認する。プログラム間でのファイル使用の一貫性を評価する,ファイル名・アクセスモード・ファイル組織・使用箇所・プログラム別使用状況,対象ソース解析結果・対象AST,文字列・モード・行番号・頻度,プログラム間のファイル処理を比較する,ファイル操作ガイドライン,表形式（使用一覧）・データフロー図・比較グラフ
369,6.2.3,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,処理品質・性能関連,ソート/マージ分析,SORT文やMERGE文の使用状況を解析する。ソートキーやマージ条件・ファイルサイズを特定する。ソートアルゴリズムの選択やメモリ使用量を評価する。プログラム間のソート/マージ処理を比較する,ソート/マージ回数・使用箇所・ソートキー項目・推定処理時間・プログラム別処理状況,対象ソース解析結果・対象AST,回数・行番号・項目・時間,プログラム間のソート/マージ処理を比較する,パフォーマンス基準,表形式（操作一覧）・グラフ（処理時間）・比較グラフ
370,6.2.4,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,バッチ再始動性・信頼性は品質関連,チェックポイント分析,チェックポイントやリスタート処理の有無を解析する。チェックポイントの設置基準や頻度を評価する。異常終了時のリカバリ手順やデータ整合性確保方法を確認する。バッチ処理間のチェックポイント設定の一貫性を評価する,チェックポイント数・設定箇所・処理内容・リスタート可能ステップ・プログラム別設定状況,対象ソース解析結果・対象AST,件数・行番号・処理内容,プログラム間のチェックポイント設定を比較する,バッチ処理信頼性ガイドライン,テキスト記述・フローチャート・比較グラフ
371,6.3.1,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,アセンブラ・COBOL間インターフェースは品質・保守性関連,データ受け渡し方法分析,アセンブラとのインターフェース部分を解析しデータ受け渡し方法を特定する。レジスタ・メモリ領域・スタックでのデータ交換詳細を解析する。エンディアンやアライメントの考慮点を確認する。プログラム間のデータ受け渡し方法の統一性を評価する,データ受け渡し方法・該当箇所・データ型サイズ・インターフェース整合性・プログラム別比較,対象ソース解析結果・対象AST,文字列・行番号・サイズ・評価結果,プログラム間のデータ受け渡しを比較する,インターフェース仕様,テキスト記述・表形式（一覧）・フローチャート・比較図
372,6.3.2,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,モジュール間のコール規約統一性は品質関連,呼び出し規約分析,プログラム間の呼び出し規約を解析する。関数間の引数受け渡し方法や戻り値の扱いを解析する。エラーハンドリングや例外処理方法を確認する。プログラム間の呼び出し規約の一貫性を評価する,呼び出し規約種類・該当箇所・引数順序型・呼び出し整合性・プログラム別比較,対象ソース解析結果・対象AST,文字列・行番号・型情報・評価結果,プログラム間の呼び出し規約を比較する,システム呼び出し規約,テキスト記述・コールグラフ・表形式（一覧）・比較図
373,6.3.3,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,アセンブラデータ型解析は品質関連,データ型分析,アセンブラで使用されているデータ型を解析する。データ型のサイズや符号付き/符号なしの違いを特定する。COBOL側のデータ型との互換性を確認する。プログラム間のデータ型使用の統一性を評価する,データ型種類・使用箇所・各データ型サイズ・使用目的・プログラム別使用状況,対象ソース解析結果・対象AST,文字列・行番号・バイト数・目的,プログラム間のデータ型使用を比較する,データ型統一基準,表形式（データ型一覧）・マッピング表・比較グラフ
374,6.3.4,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,アセンブラ構造解析は品質関連,データ構造分析,アセンブラで定義されているデータ構造を解析する。構造体や共用体のフィールド情報・オフセットを特定する。パディングやアライメントの影響を考慮する。プログラム間のデータ構造の再利用性を評価する,データ構造名・構成要素・全体サイズ・COBOL対応表・プログラム別使用状況,対象ソース解析結果・対象AST,文字列・フィールド情報・サイズ・対応表,プログラム間のデータ構造利用を比較する,データ構造設計基準,表形式（構造詳細）・メモリレイアウト図・比較図
375,6.3.5,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,アセンブラの制御フロー品質分析,プログラムの流れ分析,アセンブラコードのフローを解析し制御フローグラフを作成する。分岐命令やループ構造を特定する。例外処理や割り込みハンドリングを確認する。プログラム間のロジックの共通点を特定する,フローチャート・処理ブロック説明・クリティカルセクション・プログラム別制御フロー,対象ソース解析結果・対象AST,図・説明・セクション,プログラム間の制御フローを比較する,不要,グラフ（フローチャート）・シーケンス図・比較図
376,6.3.6,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,アセンブラのエラーハンドリング品質,エラー処理分析,アセンブラコード内のエラーハンドリング部分を解析する。エラーコードの設定や例外発生時の挙動を特定する。ログ出力や通知機構を確認する。プログラム間のエラー処理方法の統一性を評価する,エラー処理方法・該当箇所・エラーコード種類・エラー発生条件・プログラム別処理状況,対象ソース解析結果・対象AST,文字列・行番号・コード・条件,プログラム間のエラー処理を比較する,エラーハンドリングガイドライン,テキスト記述・表形式（一覧）・比較グラフ
377,6.3.7,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,アセンブラ最適化は品質・性能関連,最適化検討,アセンブラコードのパフォーマンスを解析し最適化余地を検討する。ボトルネックとなる命令やループを特定する。命令レベルの最適化を評価する。プログラム間での最適化ポイントを比較する,最適化可能箇所・提案内容・性能向上率・リスクコスト評価,対象ソース解析結果・対象AST,行番号・提案・パーセント・評価,プログラム間の最適化可能性を比較する,パフォーマンス基準,テキスト記述・表形式（提案一覧）・比較グラフ
378,6.3.8,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,アセンブラ可読性・品質評価,コードの理解難易度分析,アセンブラコードの複雑さを評価し理解難易度を判定する。サイクロマティック複雑度やネスト深さを計算する。コメントの有無や可読性も評価する。プログラム間の理解難易度を比較する,理解難易度スコア・難解箇所・複雑度詳細・改善提案・プログラム別比較,対象ソース解析結果・対象AST,数値・行番号・詳細・提案,プログラム間の理解難易度を比較する,理解難易度評価基準,グラフ（レーダーチャート）・ヒートマップ・比較グラフ
379,6.3.9,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,アセンブラコメント品質,コメントドキュメンテーション分析,アセンブラコード内のコメントの量と質を解析する。コメントとコードの一致性や有用性を評価する。不足ドキュメント箇所を特定する。プログラム間のコメント品質を比較する,コメント行数・コメント率・コメント例・コメント種類・プログラム別評価,対象ソース解析結果・対象AST,行数・パーセント・例・種類・評価,プログラム間のコメント充実度を比較する,コメントガイドライン,テキスト記述・表形式（評価一覧）・比較グラフ
380,6.3.10,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,移植性・品質関連,プラットフォーム依存性分析,プラットフォーム固有の命令や機能使用箇所を特定する。ハードウェア依存の最適化や特殊なI/O操作を検出する。移植性への影響を評価する。プログラム間のプラットフォーム依存性を比較する,依存箇所・依存内容・代替手段・影響範囲・プログラム別評価,対象ソース解析結果・対象AST,行番号・内容・手段・範囲・評価,プログラム間のプラットフォーム依存を比較する,移植性ガイドライン,表形式（依存一覧）・評価表・比較グラフ
381,6.3.11,ドキュメント,複数,セキュリティ・脆弱性関連,アセンブラコード内のセキュリティ問題,脆弱性検出,アセンブラコード内のセキュリティ脆弱性を検出する。バッファオーバーフロー・メモリリーク・未初期化変数を特定する。セキュリティベストプラクティスからの逸脱を解析する。プログラム間の脆弱性傾向を分析する,脆弱箇所・脆弱性種類・詳細説明・対策・プログラム別件数,対象ソース解析結果・対象AST,行番号・種類・説明・対策・件数,プログラム間の脆弱性状況を比較する,セキュリティ基準,表形式（脆弱性一覧）・分類表・比較グラフ
382,6.3.12,ドキュメント,複数,セキュリティ・脆弱性関連,,セキュアコーディング順守分析,セキュアコーディングガイドライン準拠をチェックする。安全なメモリ管理・入力検証・エラーハンドリングを評価する。既知の脆弱性パターンを確認する。プログラム間の順守状況を比較する,違反箇所数・違反内容・リスク評価・修正提案・プログラム別違反件数,対象ソース解析結果・対象AST,件数・内容・評価・提案・統計,プログラム間の順守状況を比較する,セキュアコーディングガイドライン,表形式（違反一覧）・優先度リスト・比較グラフ
383,7.1.1,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,メーカー方言は標準化・品質関連,HITACHI方言分析,HITACHI固有のCOBOL拡張機能や方言使用箇所を検出する。特定の命令や機能を解析する。標準COBOLとの互換性を評価する。プログラム間での方言使用傾向を分析する,方言使用箇所数・該当プログラム数・機能命令一覧・移行影響度評価・プログラム別使用頻度,対象ソース解析結果・対象AST,件数・一覧・評価結果,プログラム間の方言使用状況を比較する,標準COBOL準拠度基準,表形式（方言一覧）・影響度分類・比較グラフ
384,7.1.2,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,メーカー方言は標準化・品質関連,FUJITSU方言分析,FUJITSU固有のCOBOL拡張機能や方言使用箇所を検出する。プリプロセッサ指示や組み込み関数を解析する。他のCOBOLコンパイラとの互換性を評価する。プログラム間での方言使用状況を比較する,方言使用箇所数・該当プログラム数・方言機能一覧・代替手段・プログラム別使用頻度,対象ソース解析結果・対象AST,件数・一覧・手段,プログラム間の方言使用状況を比較する,標準COBOL準拠度基準,表形式（方言一覧）・影響度分類・比較グラフ
385,7.1.3,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,メーカー方言は標準化・品質関連,IBM方言分析,IBM固有のCOBOL拡張機能や方言使用箇所を検出する。特有のオプションや命令・データ型を解析する。標準化への影響を評価する。プログラム間での方言使用状況を比較する,方言使用箇所数・該当プログラム数・IBM固有機能詳細・移行コスト・プログラム別使用頻度,対象ソース解析結果・対象AST,件数・一覧・コスト,プログラム間の方言使用状況を比較する,標準COBOL準拠度基準,表形式・影響度分類・比較グラフ
386,7.1.4,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,メーカー方言は標準化・品質関連,NEC方言分析,NEC固有のCOBOL拡張機能や方言使用箇所を検出する。独自のデータ型や制御構文を解析する。標準COBOLとの互換性を評価する。プログラム間での方言使用状況を比較する,方言使用箇所数・該当プログラム数・方言機能一覧・代替実装・プログラム別使用頻度,対象ソース解析結果・対象AST,件数・一覧・実装案,プログラム間の方言使用状況を比較する,標準COBOL準拠度基準,表形式・影響度分類・比較グラフ
387,7.1.5,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,メーカー方言は標準化・品質関連,UNISYS方言分析,UNISYS固有のCOBOL拡張機能や方言使用箇所を検出する。システム関数やファイル制御機能を解析する。他システムへの移行影響を評価する。プログラム間での方言使用状況を比較する,方言使用箇所数・該当プログラム数・使用機能詳細・移行リスク・プログラム別使用頻度,対象ソース解析結果・対象AST,件数・一覧・リスク評価,プログラム間の方言使用状況を比較する,標準COBOL準拠度基準,表形式・影響度分類・比較グラフ
388,7.2.1,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,文字コード関連の品質・標準化,EBCDIC分析,EBCDIC文字コード使用箇所を検出する。データ変換処理や文字コード依存ロジックを解析する。外部システムとのデータ連携部分を確認する。プログラム間での使用状況を比較する,EBCDIC使用箇所数・該当プログラム数・変換処理有無・影響範囲・プログラム別使用頻度,対象ソース解析結果・対象AST,件数・箇所・処理内容,プログラム間の文字コード使用状況を比較する,文字コード統一方針,表形式（使用一覧）・影響度マトリクス・比較グラフ
389,7.2.2,ドキュメント,複数,コード品質・保守性・最適化・規約順守関連,文字コード関連の品質・標準化,JEF分析,JEF文字コード使用箇所を検出する。文字列リテラルやデータ項目のエンコーディングを解析する。JEFコード特有の文字使用状況を特定する。外部システムとのデータ交換部分を確認する,JEF使用箇所数・該当プログラム数・特有文字使用箇所・変換処理詳細・プログラム別使用頻度,対象ソース解析結果・対象AST,件数・箇所・処理内容,プログラム間の文字コード使用状況を比較する,文字コード統一方針,表形式（使用一覧）・影響度マトリクス・比較グラフ
